university,major,error
Central Arizona College,Science Technologies/Technicians,
Central Arizona College,Biology/Biotechnology Technology/Technician,
Central Arizona College,Transportation and Materials Moving,
Central Arizona College,Construction/Heavy Equipment/Earthmoving Equipment Operation,
Central Arizona College,"Ground Transportation, Other",
Central Arizona College,Visual and Performing Arts,
Central Arizona College,"Arts, Entertainment, and Media Management, General",
Central Arizona College,"Fine/Studio Arts, General",
Central Arizona College,Graphic Design,
Central Arizona College,"Music Performance, General",
Central Arizona College,Music Technology,
Central Arizona College,Technical Theatre/Theatre Design and Technology,
Charles of Italy Beauty College,"Cosmetology/Cosmetologist, General",
Charles of Italy Beauty College,Nail Technician/Specialist and Manicurist,
Charles of Italy Beauty College,Massage Therapy/Therapeutic Massage,
Charles of Italy Beauty College,Technical Teacher Education,
Cochise County Community College District,"Agricultural Business and Management, General",
Cochise County Community College District,Agronomy and Crop Science,
Cochise County Community College District,"Animal Sciences, General",
Cochise County Community College District,Crop Production,
Cochise County Community College District,Ornamental Horticulture,
Cochise County Community College District,"Biology/Biological Sciences, General",
Cochise County Community College District,"Business Administration and Management, General",
Cochise County Community College District,Executive/Career Coaching,
Cochise County Community College District,"Logistics, Materials, and Supply Chain Management",
Cochise County Community College District,Taxation,
Cochise County Community College District,Digital Communication and Media/Multimedia,
Cochise County Community College District,Journalism,
Cochise County Community College District,Speech Communication and Rhetoric,
Cochise County Community College District,Communications Technology/Technician,
Cochise County Community College District,Computer and Information Systems Security/Auditing/Information Assurance,
Cochise County Community College District,"Computer Programming, Vendor/Product Certification",
Cochise County Community College District,"Computer Programming/Programmer, General",
Cochise County Community College District,Computer Science,
Cochise County Community College District,Computer Systems Networking and Telecommunications,
Cochise County Community College District,Information Science/Studies,
Cochise County Community College District,"Modeling, Virtual Environments and Simulation",
Cochise County Community College District,Network and System Administration/Administrator,
Cochise County Community College District,Web/Multimedia Management and Webmaster,
Cochise County Community College District,Building Construction Technology/Technician,
Cochise County Community College District,Carpentry/Carpenter,
Cochise County Community College District,"Construction Trades, General",
Cochise County Community College District,Lineworker,
Cochise County Community College District,Baking and Pastry Arts/Baker/Pastry Chef,
Cochise County Community College District,"Cooking and Related Culinary Arts, General",
Cochise County Community College District,Culinary Arts/Chef Training,
Cochise County Community College District,Food Preparation/Professional Cooking/Kitchen Assistant,
Cochise County Community College District,Adult and Continuing Education and Teaching,
Cochise County Community College District,Early Childhood Education and Teaching,
Cochise County Community College District,Elementary Education and Teaching,
Cochise County Community College District,"Engineering, General",
Cochise County Community College District,CAD/CADD Drafting and/or Design Technology/Technician,
Cochise County Community College District,"Electrical, Electronic, and Communications Engineering Technology/Technician",
Cochise County Community College District,Robotics Technology/Technician,
Cochise County Community College District,English Language and Literature/Letters,
Cochise County Community College District,"English Language and Literature, General",
Cochise County Community College District,Electrocardiograph Technology/Technician,
Cochise County Community College District,Emergency Medical Technology/Technician (EMT Paramedic),
Cochise County Community College District,"Health Services/Allied Health/Health Sciences, General",
Cochise County Community College District,Home Health Aide/Home Attendant,
Cochise County Community College District,Licensed Practical/Vocational Nurse Training,
Cochise County Community College District,Medical Insurance Coding Specialist/Coder,
Cochise County Community College District,Medical/Clinical Assistant,
Cochise County Community College District,Nursing Assistant/Aide and Patient Care Assistant/Aide,
Cochise County Community College District,Phlebotomy Technician/Phlebotomist,
Cochise County Community College District,Registered Nursing/Registered Nurse,
Cochise County Community College District,Respiratory Care Therapy/Therapist,
Cochise County Community College District,Criminal Justice/Police Science,
Cochise County Community College District,Fire Science/Fire-fighting,
Cochise County Community College District,General Studies,
Cochise County Community College District,Liberal Arts and Sciences/Liberal Studies,
Cochise County Community College District,"Mathematics, General",
Cochise County Community College District,Automobile/Automotive Mechanics Technology/Technician,
Cochise County Community College District,Avionics Maintenance Technology/Technician,
Cochise County Community College District,Computer Installation and Repair Technology/Technician,
Cochise County Community College District,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician",
Cochise County Community College District,Air and Space Operations Technology,
Cochise County Community College District,"Intelligence, General",
Cochise County Community College District,"Sports, Kinesiology, and Physical Education/Fitness, General",
Cochise County Community College District,Philosophy,
Cochise County Community College District,"Chemistry, General",
Cochise County Community College District,"Physics, General",
Cochise County Community College District,Welding Technology/Welder,
Cochise County Community College District,"Human Services, General",
Cochise County Community College District,"Economics, General",
Cochise County Community College District,"Social Sciences, General",
Cochise County Community College District,Airline/Commercial/Professional Pilot and Flight Crew,
Cochise County Community College District,Truck and Bus Driver/Commercial Vehicle Operator and Instructor,
Cochise County Community College District,"Art/Art Studies, General",
Cochise County Community College District,"Drama and Dramatics/Theatre Arts, General",
Cochise County Community College District,"Music, General",
Empire Beauty School-Chandler,"Cosmetology/Cosmetologist, General",
Empire Beauty School-Chandler,Aesthetician/Esthetician and Skin Care Specialist,
Empire Beauty School-Chandler,"Cosmetology, Barber/Styling, and Nail Instructor",
Avalon Institute-Mesa,Aesthetician/Esthetician and Skin Care Specialist,
Avalon Institute-Mesa,"Cosmetology, Barber/Styling, and Nail Instructor",
Avalon Institute-Mesa,"Cosmetology/Cosmetologist, General",
Eastern Arizona College,Biological and Biomedical Sciences,
Eastern Arizona College,"Biology/Biological Sciences, General",
Eastern Arizona College,Environmental Biology,
Eastern Arizona College,Wildlife Biology,
Eastern Arizona College,Accounting Technology/Technician and Bookkeeping,
Eastern Arizona College,"Administrative Assistant and Secretarial Science, General",
Eastern Arizona College,"Business Administration and Management, General",
Eastern Arizona College,"Business Operations Support and Secretarial Services, Other",
Eastern Arizona College,"Business, Management, Marketing, and Related Support Services, Other",
Eastern Arizona College,General Office Occupations and Clerical Services,
Eastern Arizona College,Organizational Leadership,
Eastern Arizona College,Project Management,
Eastern Arizona College,Retailing and Retail Operations,
Eastern Arizona College,Small Business Administration/Management,
Eastern Arizona College,Speech Communication and Rhetoric,
Eastern Arizona College,Photographic and Film/Video Technology/Technician,
Eastern Arizona College,"Computer and Information Sciences, Other",
Eastern Arizona College,"Computer and Information Sciences, General",
Eastern Arizona College,"Computer Programming/Programmer, General",
Eastern Arizona College,Computer Support Specialist,
Eastern Arizona College,Information Science/Studies,
Eastern Arizona College,"Building/Construction Finishing, Management, and Inspection, Other",
Eastern Arizona College,Carpentry/Carpenter,
Eastern Arizona College,Mason/Masonry,
Eastern Arizona College,"Cooking and Related Culinary Arts, General",
Eastern Arizona College,"Cosmetology, Barber/Styling, and Nail Instructor",
Eastern Arizona College,"Cosmetology/Cosmetologist, General",
Eastern Arizona College,Hair Styling/Stylist and Hair Design,
Eastern Arizona College,Manicurist/Technician and Manicurist,
Eastern Arizona College,Early Childhood Education and Teaching,
Eastern Arizona College,Elementary Education and Teaching,
Eastern Arizona College,Secondary Education and Teaching,
Eastern Arizona College,Civil Engineering Technologies/Technicians,
Eastern Arizona College,"Drafting and Design Technology/Technician, General",
Eastern Arizona College,Mining Technology/Technician,
Eastern Arizona College,Robotics Technology/Technician,
Eastern Arizona College,Solar Energy Technology/Technician,
Eastern Arizona College,"Writing, General",
Eastern Arizona College,"Foreign Languages and Literatures, General",
Eastern Arizona College,"Foreign Languages and Literatures, General",
Eastern Arizona College,Athletic Training/Trainer,
Eastern Arizona College,Dental Assisting/Assistant,
Eastern Arizona College,Emergency Medical Technology/Technician (EMT Paramedic),
Eastern Arizona College,Health Aide,
Eastern Arizona College,"Health Services/Allied Health/Health Sciences, General",
Eastern Arizona College,Licensed Practical/Vocational Nurse Training,
Eastern Arizona College,Medical Insurance Coding Specialist/Coder,
Eastern Arizona College,Medical Radiologic Technology/Science - Radiation Therapist,
Eastern Arizona College,Medical/Clinical Assistant,
Eastern Arizona College,Nursing Assistant/Aide and Patient Care Assistant/Aide,
Eastern Arizona College,Phlebotomy Technician/Phlebotomist,
Eastern Arizona College,Physical Therapy Assistant,
Eastern Arizona College,Pre-Chiropractic Studies,
Eastern Arizona College,Pre-Medicine/Pre-Medical Studies,
Eastern Arizona College,Pre-Optometry Studies,
Eastern Arizona College,Pre-Pharmacy Studies,
Eastern Arizona College,Pre-Physical Therapy Studies,
Eastern Arizona College,Registered Nursing/Registered Nurse,
Eastern Arizona College,"History, General",
Eastern Arizona College,Criminal Justice/Law Enforcement Administration,
Eastern Arizona College,Criminal Justice/Police Science,
Eastern Arizona College,General Studies,
Eastern Arizona College,"Liberal Arts and Sciences, General Studies and Humanities",
Eastern Arizona College,Liberal Arts and Sciences/Liberal Studies,
Eastern Arizona College,"Mathematics, General",
Eastern Arizona College,Appliance Installation and Repair Technology/Technician,
Eastern Arizona College,Automobile/Automotive Mechanics Technology/Technician,
Eastern Arizona College,Diesel Mechanics Technology/Technician,
Eastern Arizona College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician",
Eastern Arizona College,Industrial Electronics Technology/Technician,
Eastern Arizona College,Industrial Mechanics and Maintenance Technology/Technician,
Eastern Arizona College,"Vehicle Maintenance and Repair Technology/Technician, General",
Eastern Arizona College,"Multi-/Interdisciplinary Studies, Other",
Eastern Arizona College,"Forestry, General",
Eastern Arizona College,"Sports, Kinesiology, and Physical Education/Fitness, General",
Eastern Arizona College,"Chemistry, General",
Eastern Arizona College,"Geology/Earth Science, General",
Eastern Arizona College,"Physics, General",
Eastern Arizona College,Machine Shop Technology/Assistant,
Eastern Arizona College,Metal Fabricator,
Eastern Arizona College,Welding Technology/Welder,
Eastern Arizona College,"Psychology, General",
Eastern Arizona College,"Political Science and Government, General",
Eastern Arizona College,"Sociology, General",
Eastern Arizona College,Truck and Bus Driver/Commercial Vehicle Operator and Instructor,
Eastern Arizona College,Commercial and Advertising Art,
Eastern Arizona College,"Drama and Dramatics/Theatre Arts, General",
Eastern Arizona College,Film/Cinema/Media Studies,
Eastern Arizona College,Graphic Design,
Eastern Arizona College,"Music, General",
Embry-Riddle Aeronautical University-Prescott,Biological and Biomedical Sciences,
Embry-Riddle Aeronautical University-Prescott,"Biology/Biological Sciences, General",
Embry-Riddle Aeronautical University-Prescott,"Business Administration, Management and Operations, Other",
Embry-Riddle Aeronautical University-Prescott,International Business/Trade/Commerce,
Embry-Riddle Aeronautical University-Prescott,"Aerospace, Aeronautical, and Astronautical/Space Engineering, General",
Embry-Riddle Aeronautical University-Prescott,"Computer Engineering, General",
Embry-Riddle Aeronautical University-Prescott,Computer Software Engineering,
Embry-Riddle Aeronautical University-Prescott,Electrical and Electronics Engineering,
Embry-Riddle Aeronautical University-Prescott,Mechanical Engineering,
Embry-Riddle Aeronautical University-Prescott,Cyber/Computer Forensics and Counterterrorism,
Embry-Riddle Aeronautical University-Prescott,Financial Forensics and Fraud Investigation,
Embry-Riddle Aeronautical University-Prescott,Forensic Science and Technology,
Embry-Riddle Aeronautical University-Prescott,"Data Science, General",
Embry-Riddle Aeronautical University-Prescott,Astronomy,
Embry-Riddle Aeronautical University-Prescott,"Atmospheric Sciences and Meteorology, General",
Embry-Riddle Aeronautical University-Prescott,"Physics, Other",
Embry-Riddle Aeronautical University-Prescott,Applied Psychology,
Embry-Riddle Aeronautical University-Prescott,Forensic Psychology,
Embry-Riddle Aeronautical University-Prescott,Industrial and Organizational Psychology,
Embry-Riddle Aeronautical University-Prescott,International Relations and Affairs,
Embry-Riddle Aeronautical University-Prescott,"Aeronautics/Aviation/Aerospace Science and Technology, General",
Embry-Riddle Aeronautical University-Prescott,Air Traffic Controller,
Embry-Riddle Aeronautical University-Prescott,Aviation/Airway Management and Operations,
Embry-Riddle Aeronautical University-Prescott,Remote Aircraft Pilot,
Embry-Riddle Aeronautical University-Prescott,Game and Interactive Media Design,
The School of Architecture,Architectural and Building Sciences/Technology,
Glendale Community College,Architecture and Related Services,
Glendale Community College,Women's Studies,
Glendale Community College,Biological and Biomedical Sciences,
Glendale Community College,"Physiology, General",
Glendale Community College,"Business, Management, Marketing, and Related Support Services",
Glendale Community College,Accounting Technology/Technician and Bookkeeping,
Glendale Community College,"Administrative Assistant and Secretarial Science, General",
Glendale Community College,Banking and Financial Support Services,
Glendale Community College,"Business Administration and Management, General",
Glendale Community College,"Business/Commerce, General",
Glendale Community College,"Hospitality Administration/Management, General",
Glendale Community College,Insurance,
Glendale Community College,International Business/Trade/Commerce,
Glendale Community College,Real Estate,
Glendale Community College,"Sales, Distribution, and Marketing Operations, General",
Glendale Community College,Small Business Administration/Management,
Glendale Community College,Taxation,
Glendale Community College,Journalism,
Glendale Community College,Mass Communication/Media Studies,
